"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Thickness","Orientation","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Buying price (AUD)","Estimate (AUD)","Private comment","Public comment"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1920","1920","","Melbourne & Sydney Mints - Without dots","1","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1921","1921","","Melbourne & Sydney Mints - Indian obverse","1","","F","","1.45","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1922","1922","","Melbourne Mint - London obverse; curved base lettering","1","","VF","","3.05","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1923","1923","","Melbourne Mint","1","","XF","","5.61","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1924","1924","","Melbourne & Sydney Mints - London obverse","1","","XF","","3.9","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1926","1926","","Melbourne Mint","1","","VF","","5.81","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1927","1927","","Melbourne Mint - London obverse","1","","VF","","2.63","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1927","1927","","Melbourne Mint - London obverse","1","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1928","1928","","Melbourne Mint","1","","F","","1.87","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1929","1929","","Melbourne Mint - London obverse","1","","VF","","2.93","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1932","1932","","Melbourne Mint","1","","F","","4","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1933","1933","","Melbourne Mint","1","","F","","1.28","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1934","1934","","Proof - Melbourne Mint","1","","VF","","","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1935","1935","","Melbourne Mint","1","","F","","1.45","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1.75","Medal alignment ↑↑","1939","1939","","Melbourne Mint","1","","F","","1.28","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1.75","Medal alignment ↑↑","1940","1940","","Melbourne Mint","1","","VF","","1.52","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1.75","Medal alignment ↑↑","1941","1941","","Melbourne Mint","1","","VF","","1.45","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1.75","Medal alignment ↑↑","1943","1943","I","Bombay Mint; Dots before & after ""PENNY"" with ""I"" below bust; small denticles","1","","F","","0.33","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1.75","Medal alignment ↑↑","1948","1948","•","Perth Mint; One dot after ""PENNY""","1","","VF","","4.81","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 56","N# 1001","1 Penny - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coin","1955-1964","Round","Bronze","9.45","30.8","1.71","Medal alignment ↑↑","1964","1964","","Melbourne Mint","1","","VG","","0.89","",""
"Australia","Australia","Pound (1910-1966)","0.025","KM# 38","N# 5321","6 Pence - George VI","Standard circulation coin","1938-1945","Round","Silver (.925)","2.83","19","1.29","Medal alignment ↑↑","1943","1943","S","Circulation","1","","F","","","",""
"Australia","Australia","Pound (1910-1966)","0.05","KM# 46","N# 8215","1 Shilling - George VI (without ""IND:IMP"")","Standard circulation coin","1950-1952","Round","Silver (.500)","5.65","23.5","1.6","Medal alignment ↑↑","1952","1952","","Circulation","1","","F","","3.44","",""
"Australia","Australia","Pound (1910-1966)","0.1","KM# 27","N# 9267","1 Florin - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","11.31","28.5","2","Medal alignment ↑↑","1916","1916","M","Circulation - Melbourne Mint","1","","VG","","8.31","",""
"Australia","Australia","Pound (1910-1966)","0.1","KM# 40a","N# 21633","1 Florin - George VI","Standard circulation coin","1946-1947","Round","Silver (.500)","11.31","28.5","2.3","Medal alignment ↑↑","1946","1946","","Circulation","1","","VG","","4.73","",""
"Australia","Australia","Pound (1910-1966)","0.1","KM# 47","N# 12502","1 Florin - George VI (50 Years of Federation)","Circulating commemorative coin","1951","Round","Silver (.500)","11.31","28.5","2.3","Medal alignment ↑↑","1951","1951","","Circulation","2","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.1","KM# 60","N# 6759","1 Florin - Elizabeth II (1st Portrait - with ""F:D:"")","Standard circulation coin","1956-1963","Round","Silver (.500)","11.31","28.5","2.5","Medal alignment ↑↑","1960","1960","","Circulation","1","","F","","5.08","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1966","1966","","Canberra Mint; No blunted whiskers","1","","VG","","0.22","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1966","1966","","Melbourne Mint; Blunted whisker on right","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1970","1970","","Canberra Mint","1","","VG","","0.09","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1971","1971","","Canberra Mint","1","","VG","","0.18","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1973","1973","","Canberra Mint","2","","VG","","0.09","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1976","1976","","Canberra Mint","1","","UNC","","1.45","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1976","1976","","Canberra Mint","1","","VG","","0.16","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1978","1978","","Canberra Mint","2","","VG","","0.12","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1980","1980","","Canberra Mint","1","","VG","","0.28","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1981","1981","","Canberra Mint","5","","VG","","0.07","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1983","1983","","Canberra Mint","6","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1984","1984","","Canberra Mint","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 78","N# 1562","1 Cent - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1991","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1987","1987","","Circulation","2","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 78","N# 1562","1 Cent - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1991","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1988","1988","","Circulation","2","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.01","KM# 78","N# 1562","1 Cent - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1991","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1.5","Medal alignment ↑↑","1989","1989","","Circulation","3","","VG","","0.1","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1966","1966","","Circulation Melbourne Mint, Blunt Right 2nd Claw (when looking at coin)","4","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1967","1967","","Circulation Perth Mint","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1969","1969","","Circulation Canberra Mint","1","","F","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1972","1972","","Circulation Canberra Mint","1","","F","","0.32","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1975","1975","","Circulation Canberra Mint","2","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1976","1976","","Circulation Canberra Mint","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1977","1977","","Circulation Canberra Mint","1","","UNC","","0.97","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1977","1977","","Circulation Canberra Mint","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1978","1978","","Circulation Canberra Mint","1","","VG","","0.16","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1979","1979","","Circulation Canberra Mint","3","","VG","","0.11","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1980","1980","","Circulation Canberra Mint","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1981","1981","","Circulation Canberra Mint","2","","VG","","0.15","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1983","1983","","Circulation Canberra Mint","2","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 79","N# 5211","2 Cents - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1991","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1985","1985","","Circulation","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 79","N# 5211","2 Cents - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1991","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1.5","Medal alignment ↑↑","1989","1989","","Circulation","1","","VG","","0.25","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1969","1969","","Circulation","1","","VG","","0.04","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1973","1973","","Circulation","1","","F","","0.26","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1976","1976","","Circulation","1","","F","","0.22","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1981","1981","","Circulation Canberra Mint","1","","F","","0.27","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1983","1983","","Circulation","1","","F","","0.26","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 80","N# 1567","5 Cents - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1989","1989","","Circulation","1","","VG","","0.42","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 80","N# 1567","5 Cents - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","1995","1995","","Circulation","1","","F","","0.26","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2000","2000","","Circulation","1","","F","","0.17","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2001","2001","","Circulation Small Head; RB joined","1","","F","","","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2002","2002","","Circulation","1","","VG","","0.13","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2003","2003","","Circulation","1","","VF","","0.28","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2005","2005","","Circulation Normal SD","1","","VF","","0.34","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2005","2005","","Circulation Normal SD","1","","F","","0.34","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2006","2006","","Circulation","2","","VF","","0.36","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2008","2008","","Circulation","1","","VF","","0.23","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2013","2013","","Circulation","1","","VF","","0.18","",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1.3","Medal alignment ↑↑","2015","2015","","Proof Year Set","1","","UNC","","","",""
"Australia","Australia","Dollar (1966-date)","0.1","KM# 65","N# 1282","10 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","5.66","23.6","1.76","Medal alignment ↑↑","1967","1967","","Circulation","1","","VG","","0.19","",""
"Australia","Australia","Dollar (1966-date)","0.1","KM# 65","N# 1282","10 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","5.66","23.6","1.76","Medal alignment ↑↑","1971","1971","","Circulation","1","","VG","","","",""
"Australia","Australia","Dollar (1966-date)","0.1","KM# 81","N# 2561","10 Cents - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","5.66","23.6","1.76","Medal alignment ↑↑","1993","1993","","Circulation","1","","F","","0.17","",""
"Australia","Australia","Dollar (1966-date)","0.1","KM# 402","N# 1565","10 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","5.66","23.6","1.76","Medal alignment ↑↑","1999","1999","","Circulation; Two different head sizes; see comments","1","","F","","0.23","",""
"Australia","Australia","Dollar (1966-date)","0.1","KM# 402","N# 1565","10 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","5.66","23.6","1.76","Medal alignment ↑↑","2001","2001","","Circulation; Large Head, IRB Spaced","1","","VF","","0.23","",""
